id,url,title,date,origin,kind1,kind2,kind3,kind4,kind5,kind6,kind7,kind8,kind9,kind10,kind11
20445244,http://jhsjk.people.cn/article/20445244,习近平节前问菜价（图）,2013-2-6 0:00,新华社,考察,,,,,,,,,,
20445303,http://jhsjk.people.cn/article/20445303,习近平为七旬老人端饭（图）,2013-2-6 0:00,新华社,考察,,,,,,,,,,
20445366,http://jhsjk.people.cn/article/20445366,组图：习近平看望东乡族群众,2013-2-6 0:00,新华社,考察,,,,,,,,,,
20454053,http://jhsjk.people.cn/article/20454053,习近平看望空军某基地酒泉卫星发射中心和兰州军区机关官兵,2013-2-6 0:00,新华网,考察,,,,,,,,,,
20454256,http://jhsjk.people.cn/article/20454256,习近平：要着力拓展和深化军事斗争准备,2013-2-6 0:00,新华网,考察,,,,,,,,,,
20456431,http://jhsjk.people.cn/article/20456431,习近平看望空军某基地酒泉卫星发射中心和兰州军区机关官兵,2013-2-7 0:00,人民网－人民日报,考察,,,,,,,,,,
20464985,http://jhsjk.people.cn/article/20464985,习近平同党外人士共迎新春 李克强、俞正声出席,2013-2-7 0:00,新华网,活动,,,,,,,,,,
20467155,http://jhsjk.people.cn/article/20467155,习近平同党外人士共迎新春 李克强、俞正声出席,2013-2-8 0:00,人民网－人民日报,原文,活动,,,,,,,,,
20476040,http://jhsjk.people.cn/article/20476040,习近平看望慰问坚守岗位的一线劳动者,2013-2-10 0:00,人民网－人民日报,考察,原文,,,,,,,,,
20488980,http://jhsjk.people.cn/article/20488980,“大家都要重视基层基础工作”：习近平总书记来到咱甘肃之一,2013-2-15 0:00,甘肃日报,考察,原文,,,,,,,,,
20491847,http://jhsjk.people.cn/article/20491847,让大家生活越过越好——习近平总书记来到咱甘肃之二,2013-2-16 0:00,甘肃日报,考察,,,,,,,,,,
20500758,http://jhsjk.people.cn/article/20500758,在科技创新中迈出更大步伐——习近平总书记来到咱甘肃之三,2013-2-17 0:00,甘肃日报,考察,,,,,,,,,,
20505187,http://jhsjk.people.cn/article/20505187,习近平会见非盟委员会主席祖马,2013-2-17 0:00,新华网,会见,,,,,,,,,,
20510789,http://jhsjk.people.cn/article/20510789,习近平会见非盟委员会主席祖马,2013-2-18 0:00,人民网－人民日报,会见,,,,,,,,,,
20512648,http://jhsjk.people.cn/article/20512648,找准发展路子 早日脱贫致富——习近平总书记来到咱甘肃之四,2013-2-18 0:00,甘肃日报,考察,,,,,,,,,,
20569829,http://jhsjk.people.cn/article/20569829,习近平会见上海合作组织秘书长梅津采夫,2013-2-22 0:00,新华网,会见,,,,,,,,,,
20575172,http://jhsjk.people.cn/article/20575172,习近平会见上合组织秘书长,2013-2-23 0:00,人民网－人民日报,会见,,,,,,,,,,
20577702,http://jhsjk.people.cn/article/20577702,中共中央政治局召开会议 决定召开十八届二中全会 习近平主持会议,2013-2-23 0:00,新华网,会议,,,,,,,,,,
20583750,http://jhsjk.people.cn/article/20583750,习近平主持中共中央政治局第四次集体学习,2013-2-25 0:00,人民网－人民日报,会议,,,,,,,,,,
20591008,http://jhsjk.people.cn/article/20591008,习近平会见中国国民党荣誉主席连战一行,2013-2-25 0:00,新华网,会见,,,,,,,,,,
20594087,http://jhsjk.people.cn/article/20594087,习近平总书记会见连战一行,2013-2-25 0:00,新华网,会见,,,,,,,,,,
20597089,http://jhsjk.people.cn/article/20597089,习近平总书记会见连战一行,2013-2-26 0:00,人民网－人民日报,会见,,,,,,,,,,
20638535,http://jhsjk.people.cn/article/20638535,十八届二中全会举行 中央政治局主持会议 习近平作重要讲话,2013-3-1 0:00,人民网－人民日报,会议,,,,,,,,,,
20638536,http://jhsjk.people.cn/article/20638536,中共中央举行民主协商会 习近平主持会议并发表重要讲话,2013-3-1 0:00,人民网－人民日报,会议,,,,,,,,,,
20648929,http://jhsjk.people.cn/article/20648929,习近平：在全党大兴学习之风 依靠学习和实践走向未来,2013-3-1 0:00,新华网,讲话,,,,,,,,,,
20652184,http://jhsjk.people.cn/article/20652184,习近平强调：在全党大兴学习之风 依靠学习和实践走向未来,2013-3-2 0:00,人民网－人民日报,讲话,,,,,,,,,,
20656845,http://jhsjk.people.cn/article/20656845,习近平在中央党校建校80周年庆祝大会暨2013年春季学期开学典礼上的讲话,2013-3-3 0:00,人民网－人民日报,文化,原文,政治,国内最新讲话,党建,,,,,,
20661842,http://jhsjk.people.cn/article/20661842,全国政协十二届一次会议在京开幕,2013-3-4 0:00,人民网－人民日报,会议,,,,,,,,,,
20686270,http://jhsjk.people.cn/article/20686270,习近平：以全球视野谋划和推动创新,2013-3-5 0:00,新华网,会议,,,,,,,,,,
20688562,http://jhsjk.people.cn/article/20688562,习近平：坚定不移深化改革开放 加大创新驱动发展力度,2013-3-6 0:00,人民网－人民日报,会议,,,,,,,,,,
20699817,http://jhsjk.people.cn/article/20699817,习近平总书记就查韦斯逝世向委内瑞拉代总统致唁电,2013-3-6 0:00,新华网,函电,,,,,,,,,,
20702957,http://jhsjk.people.cn/article/20702957,习近平向委内瑞拉代总统致唁电,2013-3-7 0:00,人民网－人民日报,函电,,,,,,,,,,
20702958,http://jhsjk.people.cn/article/20702958,习近平李克强俞正声分别参加全国两会一些团组审议讨论,2013-3-7 0:00,人民网－人民日报,会议,,,,,,,,,,
20724438,http://jhsjk.people.cn/article/20724438,习近平参加江苏代表团审议,2013-3-8 0:00,新华网,会议,,,,,,,,,,
20732882,http://jhsjk.people.cn/article/20732882,习近平：“请转达我对大家的祝福，扎西德勒！” ,2013-3-9 0:00,新华网,原文,会议,,,,,,,,,
20736573,http://jhsjk.people.cn/article/20736573,习近平李克强张德江俞正声王岐山分别参加全国人大会议一些代表团审议,2013-3-10 0:00,人民网－人民日报,原文,会议,,,,,,,,,
20737566,http://jhsjk.people.cn/article/20737566,习近平参加西藏代表团审议,2013-3-10 0:00,新华网,原文,会议,,,,,,,,,
20741504,http://jhsjk.people.cn/article/20741504,十二届人大一次会议举行第三次全体会议 习近平李克强张德江俞正声刘云山王岐山张高丽等出席,2013-3-11 0:00,人民网－人民日报,会议,,,,,,,,,,
20750729,http://jhsjk.people.cn/article/20750729,习近平出席解放军代表团全体会议,2013-3-11 0:00,新华网,会议,,,,,,,,,,
20755159,http://jhsjk.people.cn/article/20755159,习近平：努力建设一支听党指挥能打胜仗作风优良的人民军队,2013-3-12 0:00,人民网－人民日报,会议,,,,,,,,,,
20769256,http://jhsjk.people.cn/article/20769256,全国政协十二届一次会议闭幕,2013-3-13 0:00,人民网－人民日报,会议,,,,,,,,,,
20790919,http://jhsjk.people.cn/article/20790919,胡锦涛与习近平握手（图）,2013-3-14 0:00,新华网,会议,,,,,,,,,,
20797331,http://jhsjk.people.cn/article/20797331,习近平：承前启后继往开来 推动中俄关系迈向更高水平,2013-3-15 0:00,人民网－人民日报,函电,,,,,,,,,,
20797332,http://jhsjk.people.cn/article/20797332,习近平：相互尊重扩大合作 走出一条新型大国关系之路,2013-3-15 0:00,人民网－人民日报,函电,,,,,,,,,,
20810032,http://jhsjk.people.cn/article/20810032,习近平：抓住机遇 努力开创中法关系新局面,2013-3-16 0:00,人民网-人民日报,函电,,,,,,,,,,
20815203,http://jhsjk.people.cn/article/20815203,习近平同巴基斯坦总统通电话时强调：让中巴传统友谊代代相传,2013-3-17 0:00,人民网－人民日报,函电,,,,,,,,,,
20815204,http://jhsjk.people.cn/article/20815204,习近平同斯里兰卡总统通电话时强调：推动中斯关系进一步发展,2013-3-17 0:00,人民网－人民日报,函电,,,,,,,,,,
20816162,http://jhsjk.people.cn/article/20816162,习近平：实现中国梦必须走中国道路,2013-3-17 0:00,新华网,会议,,,,,,,,,,
20816352,http://jhsjk.people.cn/article/20816352,习近平在十二届全国人大一次会议闭幕会上发表重要讲话,2013-3-17 0:00,新华网,讲话,原文,,,,,,,,,
20816724,http://jhsjk.people.cn/article/20816724,十二届全国人大一次会议在京闭幕,2013-3-17 0:00,新华社,会议,,,,,,,,,,
20816730,http://jhsjk.people.cn/article/20816730,习近平与胡锦涛握手,2013-3-17 0:00,新华社,会议,,,,,,,,,,
20819129,http://jhsjk.people.cn/article/20819129,十二届全国人大一次会议在京闭幕 习近平发表重要讲话,2013-3-18 0:00,人民网－人民日报,会议,,,,,,,,,,
20819130,http://jhsjk.people.cn/article/20819130,习近平在第十二届全国人民代表大会第一次会议上的讲话,2013-3-18 0:00,人民网－人民日报,讲话,讲话原音,经济,社会,文化,原文,政治,国内最新讲话,党建,,
20825625,http://jhsjk.people.cn/article/20825625,习近平会见梁振英、崔世安,2013-3-18 0:00,新华网,会见,,,,,,,,,,
20828661,http://jhsjk.people.cn/article/20828661,习近平将访问俄罗斯和非洲三国并出席金砖国家领导人会晤,2013-3-18 0:00,新华网,出访,,,,,,,,,,
20831390,http://jhsjk.people.cn/article/20831390,习近平会见梁振英崔世安,2013-3-19 0:00,人民网－人民日报,会见,,,,,,,,,,
20831391,http://jhsjk.people.cn/article/20831391,习近平主席将对俄罗斯坦桑尼亚南非刚果共和国进行国事访问并出席金砖国家领导人第五次会晤,2013-3-19 0:00,人民网－人民日报,出访,,,,,,,,,,
20842963,http://jhsjk.people.cn/article/20842963,习近平:坚定不移走和平发展道路 坚定不移促进世界和平与发展,2013-3-19 0:00,新华网,出访,,,,,,,,,,
20842989,http://jhsjk.people.cn/article/20842989,习近平会见美财政部长时强调中美经济关系以尊重为前提,2013-3-19 0:00,新华网,会见,,,,,,,,,,
20845745,http://jhsjk.people.cn/article/20845745,习近平会见美国总统特别代表、财政部长雅各布·卢,2013-3-20 0:00,人民网－人民日报,会见,,,,,,,,,,
20845746,http://jhsjk.people.cn/article/20845746,习近平：坚定不移走和平发展道路 坚定不移促进世界和平与发展,2013-3-20 0:00,人民网－人民日报,原文,出访,,,,,,,,,
20845747,http://jhsjk.people.cn/article/20845747,习近平接受金砖国家媒体联合采访,2013-3-20 0:00,人民网－人民日报,经济,外交,原文,国内最新讲话,,,,,,,
20855443,http://jhsjk.people.cn/article/20855443,习近平：推动中韩关系发展 维护半岛和平稳定,2013-3-20 0:00,新华网,讲话,,,,,,,,,,
20859665,http://jhsjk.people.cn/article/20859665,习近平：推动中韩关系发展 维护半岛和平稳定,2013-3-21 0:00,人民网－人民日报,函电,,,,,,,,,,
20859666,http://jhsjk.people.cn/article/20859666,习近平将对俄罗斯坦桑尼亚南非刚果共和国进行国事访问并出席金砖国家领导人会晤,2013-3-21 0:00,人民网－人民日报,出访,,,,,,,,,,
20862471,http://jhsjk.people.cn/article/20862471,习近平答金砖国家记者问：增进同往访国人民友好感情,2013-3-21 0:00,人民网－人民日报海外版,讲话,,,,,,,,,,
20868807,http://jhsjk.people.cn/article/20868807,习近平同阮富仲通电话 强调巩固和发展中越两党两国关系,2013-3-21 0:00,新华网,讲话,,,,,,,,,,
20869586,http://jhsjk.people.cn/article/20869586,习近平：积极倡导践行多边主义 为人类和平发展事业作更大贡献,2013-3-21 0:00,新华网,函电,,,,,,,,,,
20871676,http://jhsjk.people.cn/article/20871676,习近平就孟加拉国总统拉赫曼逝世向孟加拉国代总统致唁电,2013-3-21 0:00,新华网,函电,,,,,,,,,,
20874572,http://jhsjk.people.cn/article/20874572,习近平同越共中央总书记阮富仲通电话,2013-3-22 0:00,人民网－人民日报,函电,,,,,,,,,,
20874573,http://jhsjk.people.cn/article/20874573,习近平同联合国秘书长潘基文通电话,2013-3-22 0:00,人民网－人民日报,函电,,,,,,,,,,
